year,d_zone,district,area,public_place,private,official_place,temple_area,state_enterprise,elsewhere,overpass,bus_stop,park,shelter,vacant_land,commerce_building,entertainment_place,bridge,street,bridgesandroads,footpath,alley,village,market,tourist_attraction,academy,government,intersection,other,pier,promenade,footpathandalley,gardens_bridges,skytrain_station,tunnelundertheroad,sports_center,transport_station,religious_place,under_bridges,lonely_night,lone_day,blind_spot,desolate,dirty,old_building,damaged_light,obstructing_traffic,homeless,mingling_source,mayhem,extortion,accident_r,accident_f,accident_e,accident_s,accident_t,accident_o,harass,chaotically,danger_animals,landmark,crime_sexual,breeding_patho,other_risk,surveillance,clean,tree_pruning,adjust_landscape,demolish,check_cctv,install_cctv,repair_cctv,install_light,repair_light,warning_label,coordinate_police,traffic_officer,related_agencies,safety_equipment,d_data,punishment,pave_mainten,legal_action,other_spec2,rg65_value,total_score,predicted_rating,range,actual_rating
2565,กรุงธนใต้,หนองแขม,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,7,1,0-40,1
2565,กรุงธนใต้,ราษฎร์บูรณะ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1,0-40,1
2565,กรุงธนใต้,ภาษีเจริญ,6,6,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,44,2,40-80,2
2565,กรุงธนใต้,บางบอน,4,3,0,1,0,0,0,0,1,1,0,0,0,0,0,2,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,4,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,38,1,0-40,1
2565,กรุงธนใต้,บางแค,9,9,0,0,0,0,0,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,52,2,40-80,2
2565,กรุงธนใต้,บางขุนเทียน,10,9,1,0,0,0,0,6,1,0,1,0,1,0,0,4,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,1,1,77,2,40-80,2
2565,กรุงธนใต้,ทุ่งครุ,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,8,1,0-40,1
2565,กรุงธนเหนือ,บางพลัด,8,7,1,0,0,0,0,3,0,2,1,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,8,3,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,58,2,40-80,2
2565,กรุงธนเหนือ,บางกอกใหญ่,5,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,2,4,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,31,1,0-40,1
2565,กรุงธนเหนือ,บางกอกน้อย,9,8,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,2,54,2,40-80,2
2565,กรุงธนเหนือ,ธนบุรี,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,10,1,0-40,1
2565,กรุงธนเหนือ,ทวีวัฒนา,4,3,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4,4,3,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,38,1,0-40,1
2565,กรุงธนเหนือ,ตลิ่งชัน,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,2,15,1,0-40,1
2565,กรุงธนเหนือ,จอมทอง,4,4,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,0,0,2,0,3,2,0,1,0,0,1,0,0,0,0,0,2,39,1,0-40,1
2565,กรุงธนเหนือ,คลองสาน,12,11,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,5,8,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,69,2,40-80,2
2565,กรุงเทพตะวันออก,หนองจอก,3,3,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,2,3,39,1,0-40,1
2565,กรุงเทพตะวันออก,สะพานสูง,11,11,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,11,0,11,0,0,0,4,0,0,1,10,10,0,0,0,0,0,0,0,0,0,0,0,0,9,11,4,6,1,0,0,2,0,8,2,0,0,0,0,11,0,0,0,0,0,3,134,4,120-160,4
2565,กรุงเทพตะวันออก,ลาดกระบัง,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,1,0-40,1
2565,กรุงเทพตะวันออก,มีนบุรี,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,3,24,1,0-40,1
2565,กรุงเทพตะวันออก,ประเวศ,4,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,4,0,2,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,0,0,0,1,0,0,2,0,3,0,0,0,0,0,0,0,0,3,38,1,0-40,1
2565,กรุงเทพตะวันออก,บึงกุ่ม,10,10,0,0,0,0,0,1,0,4,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,6,0,1,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,61,2,40-80,2
2565,กรุงเทพตะวันออก,บางกะปิ,9,8,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,0,3,0,0,2,5,0,6,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,2,3,2,0,0,1,0,4,1,1,2,0,1,0,0,0,0,0,0,3,70,2,40-80,2
2565,กรุงเทพตะวันออก,คันนายาว,6,6,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,1,0,0,6,0,0,5,6,0,0,0,0,0,0,0,0,0,3,59,2,40-80,2
2565,กรุงเทพตะวันออก,คลองสามวา,4,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,4,1,3,3,0,0,3,0,4,2,4,4,1,0,0,0,0,0,0,1,3,52,2,40-80,2
2565,กรุงเทพกลาง,ห้วยขวาง,3,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,4,22,1,0-40,1
2565,กรุงเทพกลาง,สัมพันธวงศ์,9,9,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,9,0,5,0,0,0,1,0,4,2,0,0,1,0,0,0,0,0,0,4,0,0,0,0,1,9,9,3,0,0,0,0,0,0,0,9,8,0,0,0,0,0,0,0,0,4,93,3,80-120,3
2565,กรุงเทพกลาง,วังทองหลาง,4,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,4,1,1,0,0,0,4,0,0,4,0,0,0,0,3,0,0,0,0,2,4,42,1,40-80,2
2565,กรุงเทพกลาง,ราชเทวี,8,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,2,1,0,0,0,0,0,5,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,43,2,40-80,2
2565,กรุงเทพกลาง,พระนคร,15,15,1,0,0,0,0,1,1,1,1,0,0,0,0,3,0,5,2,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,3,5,0,3,1,1,0,1,0,9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,16,4,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,4,99,3,80-120,3
2565,กรุงเทพกลาง,พญาไท,5,5,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,1,4,40,1,0-40,1
2565,กรุงเทพกลาง,ป้อมปราบศัตรูพ่าย,7,7,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,42,1,40-80,2
2565,กรุงเทพกลาง,ดุสิต,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,4,26,1,0-40,1
2565,กรุงเทพกลาง,ดินแดง,9,9,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,3,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,58,2,40-80,2
2565,กรุงเทพใต้,สาทร,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,20,1,0-40,1
2565,กรุงเทพใต้,สวนหลวง,8,3,1,2,0,2,0,0,0,2,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,3,4,0,4,2,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,4,0,0,0,5,0,5,1,0,0,0,0,0,0,0,0,0,0,5,68,2,40-80,2
2565,กรุงเทพใต้,วัฒนา,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,0,0,2,0,3,0,3,0,0,0,0,0,0,0,0,0,5,34,1,0-40,1
2565,กรุงเทพใต้,ยานนาวา,5,3,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,27,1,0-40,1
2565,กรุงเทพใต้,พระโขนง,5,0,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,5,33,1,0-40,1
2565,กรุงเทพใต้,ปทุมวัน,13,9,1,2,1,0,0,2,0,1,0,0,0,0,0,0,0,2,2,0,1,1,1,0,0,0,0,2,0,0,0,0,1,0,2,2,7,0,1,0,0,0,0,0,2,2,0,4,0,0,0,0,0,0,0,5,0,1,0,0,0,13,0,4,0,0,0,13,0,13,0,13,0,0,0,0,0,0,0,0,13,5,134,3,120-160,4
2565,กรุงเทพใต้,บางรัก,8,7,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,40,1,0-40,1
2565,กรุงเทพใต้,บางนา,10,10,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,8,2,1,0,0,0,0,0,10,9,7,0,3,0,0,0,0,0,0,5,99,3,80-120,3
2565,กรุงเทพใต้,บางคอแหลม,9,7,2,0,0,0,0,1,0,1,1,3,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,1,0,0,0,6,0,4,1,0,0,0,2,0,0,0,0,0,0,5,64,2,40-80,2
2565,กรุงเทพใต้,คลองเตย,3,2,2,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,2,0,0,2,0,2,0,2,3,0,2,0,0,2,0,0,2,5,45,1,40-80,2
2565,กรุงเทพเหนือ,หลักสี่,13,7,0,6,0,0,0,2,0,2,0,1,0,0,0,0,0,0,2,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,1,0,0,0,0,2,0,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,1,0,0,0,0,13,1,0,0,0,0,0,0,0,6,90,3,80-120,3
2565,กรุงเทพเหนือ,สายไหม,9,9,0,0,0,0,0,2,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,6,54,2,40-80,2
2565,กรุงเทพเหนือ,ลาดพร้าว,6,6,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,3,0,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,6,39,1,0-40,1
2565,กรุงเทพเหนือ,บางซื่อ,5,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,29,1,0-40,1
2565,กรุงเทพเหนือ,บางเขน,4,1,0,3,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,21,1,0-40,1
2565,กรุงเทพเหนือ,ดอนเมือง,6,5,0,0,0,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,30,1,0-40,1
2565,กรุงเทพเหนือ,จตุจักร,6,6,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,4,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,5,5,5,0,0,5,0,5,1,4,0,0,0,0,0,0,0,0,0,6,72,2,40-80,2
